,symbol,priceChange,priceChangePercent,lastPrice
1153,CVPETH,-2.57e-05,-10.89,0.0002103
329,THETAETH,-2.6e-05,-3.295,0.000763
1137,AXSBTC,-2.7e-05,-3.226,0.00081
1895,XTZETH,-2.9e-05,-3.095,0.000908
792,CHRBNB,-2.96e-05,-3.367,0.0008494
1080,ALPHABNB,-3e-05,-4.184,0.000687
2033,GALBTC,-3.103e-05,-12.243,0.00022243
2020,MBLBUSD,-3.7e-05,-0.61,0.006029
1,LTCBTC,-3.8e-05,-1.464,0.002557
963,RSRBUSD,-4e-05,-0.594,0.00669
1122,CTKBNB,-4.1e-05,-1.426,0.002835
155,LSKETH,-4.2e-05,-6.656,0.000589
1862,ICPETH,-4.3e-05,-0.937,0.004545
944,OCEANBNB,-4.4e-05,-4.458,0.000943
1677,BETABNB,-4.45e-05,-7.369,0.0005594
1718,BNXBTC,-4.8e-05,-1.391,0.003402
194,WAVESBTC,-4.83e-05,-11.137,0.0003854
70,DASHBTC,-4.9e-05,-2.061,0.002329
660,BCHBTC,-5e-05,-0.671,0.0074
1483,TORNBTC,-5.08e-05,-3.675,0.0013316
53,MTLETH,-5.17e-05,-8.064,0.0005894
1788,ALCXBTC,-5.2e-05,-3.383,0.001485
317,ZENBTC,-5.4e-05,-6.236,0.000812
1402,FORTHBTC,-5.41e-05,-28.429,0.0001362
1526,MLNBTC,-5.8e-05,-4.563,0.001213
1745,SANDETH,-5.95e-05,-7.411,0.0007434
1550,QNTBTC,-6.2e-05,-2.56,0.00236
345,ENJBNB,-6.4e-05,-2.423,0.002577
26,OMGETH,-6.5e-05,-4.714,0.001314
470,FETBNB,-6.6e-05,-9.607,0.000621
1746,DOTETH,-6.7e-05,-1.356,0.004873
496,MITHUSDT,-7e-05,-0.311,0.02243
1140,HARDBNB,-7.1e-05,-7.442,0.000883
1872,LRCBNB,-7.4e-05,-3.964,0.001793
1023,BELBNB,-7.9e-05,-4.719,0.001595
1852,SPELLBUSD,-8e-05,-3.265,0.00237
749,MBLUSDT,-8.3e-05,-1.368,0.005985
818,IQBUSD,-9e-05,-1.24,0.00717
1779,PLABNB,-9.1e-05,-5.0,0.001729
585,COCOSBNB,-9.2e-05,-2.918,0.003061
1926,MCBNB,-9.6e-05,-2.248,0.004174
923,BUSDDAI,-0.0001,-0.01,0.9999
1016,XRPDOWNUSDT,-0.0001047,-10.817,0.0008632
1563,MINABNB,-0.000108,-2.295,0.004598
36,KNCETH,-0.0001116,-11.212,0.0008838
45,LINKETH,-0.000116,-3.047,0.003691
581,COSUSDT,-0.00012,-1.228,0.00965
1984,BSWBNB,-0.0001234,-4.698,0.0025031
529,FTMBNB,-0.0001296,-6.946,0.0017363
1323,PONDBUSD,-0.00013,-0.921,0.01399
1894,UNIETH,-0.000133,-4.833,0.002619
1324,PONDUSDT,-0.00014,-0.991,0.01399
896,AVABNB,-0.000143,-4.396,0.00311
711,TCTUSDT,-0.00015,-1.0,0.01485
167,IOTABNB,-0.000151,-11.022,0.001219
1994,RUNEETH,-0.000152,-7.096,0.00199
539,ALGOBNB,-0.000153,-7.704,0.001833
637,STXBNB,-0.000158,-6.957,0.002113
774,DATABUSD,-0.00016,-0.373,0.04275
796,BTCDOWNUSDT,-0.000164,-0.676,0.024079
623,RVNUSDT,-0.00017,-0.497,0.03406
1366,XVGBUSD,-0.00018,-2.752,0.00636
1539,QUICKBTC,-0.000182,-5.105,0.003383
1955,GLMRBNB,-0.000186,-3.174,0.005675
65,ZECBTC,-0.000188,-5.89,0.003004
1987,GMTETH,-0.0001888,-19.46,0.0007814
1993,IMXBNB,-0.000189,-4.774,0.00377
1160,FORBUSD,-0.00019,-0.789,0.02388
1617,ELFBUSD,-0.0002,-0.109,0.1839
1581,MBOXBNB,-0.000205,-4.295,0.004568
1824,VOXELBNB,-0.0002128,-7.71,0.0025473
844,SXPBNB,-0.000217,-9.129,0.00216
1830,MANABNB,-0.000219,-5.903,0.003491
996,KSMBTC,-0.000228,-7.015,0.003022
1666,AGLDBNB,-0.000229,-8.879,0.00235
1716,DARBNB,-0.00023459,-9.314,0.00228421
987,SUSHIBNB,-0.00024,-4.068,0.00566
853,ADADOWNUSDT,-0.000245,-2.336,0.010243
1414,SLPBUSD,-0.00025,-2.717,0.00895
1843,OOKIUSDT,-0.00027,-3.709,0.00701
1544,C98BNB,-0.000277,-9.641,0.002596
855,LINKDOWNUSDT,-0.000283,-1.192,0.023453
1865,NEARETH,-0.000286,-6.455,0.004145
651,IOTXUSDT,-0.00029,-0.688,0.04185
723,LTOUSDT,-0.0003,-0.218,0.1375
1056,BURGERBNB,-0.00031,-11.787,0.00232
1341,LINABUSD,-0.00035,-2.558,0.01333
1342,LINAUSDT,-0.00036,-2.626,0.01335
1654,ARPABUSD,-0.00037,-0.887,0.04136
569,ANKRUSDT,-0.00039,-0.833,0.04645
1999,APEETH,-0.000396,-9.626,0.003718
1358,CFXBUSD,-0.0004,-0.381,0.1045
1903,HIGHBNB,-0.00041,-4.686,0.00834
1586,FORUSDT,-0.00042,-1.726,0.02392
648,ARPAUSDT,-0.00043,-1.029,0.04137
1517,IOTXBUSD,-0.00044,-1.043,0.04176
1370,AUTOBTC,-0.00045,-5.799,0.00731
940,SANDBNB,-0.000482,-8.167,0.00542
1919,BDOTDOT,-0.0005,-0.082,0.61
1689,AXSETH,-0.00052,-4.61,0.01076
678,VITEUSDT,-0.00053,-1.687,0.03088
484,CELRUSDT,-0.00054,-2.16,0.02446
1065,CAKEBNB,-0.00057,-3.022,0.01829
1467,CELRBUSD,-0.00058,-2.318,0.02444
1958,NBTUSDT,-0.0006,-5.687,0.00995
775,DATAUSDT,-0.00061,-1.415,0.0425
966,PAXGBTC,-0.00062,-1.037,0.05916
1691,SOLETH,-0.00063,-2.172,0.02838
1936,SPELLTRY,-0.00065,-1.713,0.0373
1762,AVAXETH,-0.00066,-3.355,0.01901
854,LINKUPUSDT,-0.00068,-2.11,0.03154
798,ARDRUSDT,-0.0007,-0.516,0.135
1948,API3BNB,-0.00074,-9.046,0.00744
1394,VETGBP,-0.00076,-2.327,0.0319
115,XMRBTC,-0.000772,-12.888,0.005218
195,WAVESETH,-0.000787,-13.334,0.005115
956,LUNABTC,-0.0007953,-50.47,0.0007805
1828,CTXCBUSD,-0.0008,-0.503,0.1582
951,DOTBNB,-0.00081,-2.228,0.03554
1861,EGLDETH,-0.00083,-1.77,0.04607
1444,MASKBNB,-0.00085,-8.656,0.00897
2035,KNCBNB,-0.000856,-11.716,0.00645
318,ZENETH,-0.00087,-7.449,0.01081
1170,ROSEUSDT,-0.00089,-0.681,0.1298
815,LRCBUSD,-0.0009,-0.156,0.5777
640,KAVABNB,-0.00091,-9.489,0.00868
377,VETUSDT,-0.00093,-2.315,0.03925
675,VETBUSD,-0.00098,-2.437,0.03923
738,ENJBUSD,-0.001,-0.122,0.82
847,SNXBNB,-0.00102,-9.059,0.01024
1877,ACHUSDT,-0.00109,-5.475,0.01882
1149,DNTUSDT,-0.0011,-1.567,0.0691
1846,LINKBNB,-0.00111,-3.942,0.02705
601,DOCKUSDT,-0.00113,-4.806,0.02238
1742,ENSBNB,-0.00114,-2.529,0.04393
1876,ACHBUSD,-0.00118,-5.93,0.01872
189,LTCETH,-0.00119,-3.384,0.03398
1477,ATABUSD,-0.0012,-0.512,0.2331
875,RUNEBNB,-0.00124,-7.858,0.01454
1615,DYDXBNB,-0.001243,-12.43,0.008757
1670,RADBNB,-0.00125,-12.742,0.00856
1963,ANCBNB,-0.00128,-36.364,0.00224
500,ATOMBNB,-0.00129,-2.845,0.04406
1538,ADXBUSD,-0.0013,-0.473,0.2738
1738,CITYBNB,-0.00131,-5.632,0.02195
71,DASHETH,-0.00133,-4.123,0.03093
627,HBARUSDT,-0.0014,-1.23,0.1124
1960,GMTBNB,-0.00144638,-20.248,0.00569685
1897,LOKABNB,-0.0014641,-17.425,0.006938
1592,WAXPBUSD,-0.0015,-0.986,0.1506
1433,ARBNB,-0.00157,-2.739,0.05575
602,WANUSDT,-0.0017,-0.574,0.2947
1321,OMUSDT,-0.0018,-2.564,0.0684
1763,SLPTRY,-0.0019,-1.336,0.1403
719,BNTUSDT,-0.002,-0.123,1.624
960,IDEXBUSD,-0.00201,-2.268,0.0866
1965,GALAEUR,-0.0021,-1.956,0.10525
1491,COTIBUSD,-0.0022,-1.398,0.1552
737,BATBUSD,-0.0023,-0.487,0.4696
746,AIONUSDT,-0.0024,-4.688,0.0488
1094,NEARBNB,-0.002408,-7.371,0.030262
1619,IDEXUSDT,-0.00261,-2.929,0.0865
1570,FARMBNB,-0.0027,-1.387,0.192
1418,VETTRY,-0.0029,-0.469,0.6155
1880,IMXUSDT,-0.003,-0.247,1.21
1448,LPTBNB,-0.00309,-5.232,0.05597
1761,POWRBUSD,-0.0031,-0.991,0.3098
1848,MDTBUSD,-0.00315,-7.647,0.03804
807,MDTUSDT,-0.00317,-7.7,0.038
473,BATUSDT,-0.0032,-0.678,0.4685
1985,APEBNB,-0.00321,-10.577,0.02714
700,DREPUSDT,-0.0033,-0.557,0.5891
1628,GALAUSDT,-0.0034,-2.998,0.11
1629,GALABUSD,-0.00343,-3.023,0.11004
1083,ALPHAUSDT,-0.0035,-1.575,0.2187
1082,ALPHABUSD,-0.0036,-1.619,0.2187
946,OCEANBUSD,-0.0037,-1.212,0.3016
2032,GALBNB,-0.003762,-14.868,0.02154
622,RENUSDT,-0.0039,-1.761,0.2176
1700,CHESSBUSD,-0.004,-0.973,0.407
1085,VIDTBUSD,-0.0042,-1.609,0.2569
618,BEAMUSDT,-0.0045,-2.396,0.1833
1966,KSMETH,-0.00464,-10.348,0.0402
1871,GALAAUD,-0.00472,-2.881,0.15913
630,NKNUSDT,-0.0048,-3.647,0.1268
1158,STRAXUSDT,-0.005,-0.724,0.686
1642,RENBUSD,-0.0052,-2.339,0.2171
1930,WOOBUSD,-0.0053,-2.034,0.2553
1037,CREAMBNB,-0.0054,-5.505,0.0927
1238,GRTEUR,-0.0055,-2.292,0.2345
1120,AUDIOBUSD,-0.006,-0.948,0.627
1049,AVAXBNB,-0.00607,-4.191,0.13876
1931,WOOUSDT,-0.0061,-2.341,0.2545
740,ONTBUSD,-0.0064,-1.706,0.3687
777,SOLBNB,-0.0066,-3.087,0.2072
1663,FRONTUSDT,-0.0067,-2.284,0.2866
563,DUSKUSDT,-0.0069,-3.868,0.1715
1172,BUSDBRL,-0.007,-0.135,5.186
319,ZENBNB,-0.0071,-8.256,0.0789
1166,FRONTBUSD,-0.0073,-2.484,0.2866
1071,ORNUSDT,-0.008,-0.432,1.843
1369,EPSUSDT,-0.0081,-4.602,0.1679
1368,EPSBUSD,-0.0084,-4.765,0.1679
1212,GRTUSDT,-0.0086,-3.378,0.246
1620,VIDTUSDT,-0.0087,-3.273,0.2571
1679,BETAUSDT,-0.00877,-4.672,0.17894
1365,THETAEUR,-0.009,-0.526,1.701
1527,MLNBNB,-0.0094,-7.407,0.1175
1678,BETABUSD,-0.00954,-5.076,0.1784
1648,SYSUSDT,-0.0099,-3.626,0.2631
1088,USDTBRL,-0.01,-0.193,5.179
1174,SYSBUSD,-0.0105,-3.841,0.2629
893,BNBDOWNUSDT,-0.01056,-9.778,0.09744
1597,TRIBEBUSD,-0.0107,-3.189,0.3248
1847,LUNAETH,-0.01099,-51.475,0.01036
279,QTUMUSDT,-0.011,-0.233,4.712
191,LTCBNB,-0.0111,-4.281,0.2482
999,EGLDBNB,-0.0112,-3.238,0.3347
1653,FETBUSD,-0.0114,-5.398,0.1998
1086,AAVEBNB,-0.0115,-3.36,0.3308
489,DASHBNB,-0.0117,-4.945,0.2249
116,XMRETH,-0.01171,-14.425,0.06947
1983,BSWBUSD,-0.012,-1.474,0.8023
1314,FISUSDT,-0.0121,-3.057,0.3837
1142,HARDBUSD,-0.0125,-4.232,0.2829
1982,BSWUSDT,-0.0127,-1.559,0.802
604,CVCUSDT,-0.0128,-6.343,0.189
989,SUSHIBUSD,-0.013,-0.711,1.815
472,FETUSDT,-0.0132,-6.221,0.199
881,ZRXBUSD,-0.0137,-2.61,0.5112
1005,DIABUSD,-0.014,-2.532,0.539
1551,QNTBNB,-0.0148,-6.073,0.2289
372,NULSUSDT,-0.0152,-4.93,0.2931
1849,NULSBUSD,-0.0155,-5.047,0.2916
1344,ENJBRL,-0.016,-0.375,4.247
883,STORJUSDT,-0.0161,-2.417,0.6499
1313,FISBUSD,-0.0168,-4.195,0.3837
1582,MBOXBUSD,-0.017,-1.149,1.463
469,ZRXUSDT,-0.0177,-3.347,0.5112
639,STXUSDT,-0.019,-2.738,0.675
494,THETAUSDT,-0.02,-1.109,1.783
1588,GHSTUSDT,-0.021,-1.201,1.727
531,FTMUSDT,-0.0215,-3.72,0.5564
1470,FTMBUSD,-0.0216,-3.739,0.5561
862,STORJBUSD,-0.0228,-3.398,0.6481
1198,GHSTBUSD,-0.023,-1.314,1.727
2002,FTMEUR,-0.0255,-4.576,0.5317
1702,FTMAUD,-0.0269,-3.241,0.8031
852,ADAUPUSDT,-0.027,-0.802,3.34
541,ALGOUSDT,-0.0272,-4.421,0.5881
753,ALGOBUSD,-0.0275,-4.466,0.5882
476,ZECBNB,-0.0281,-8.823,0.2904
902,MANAUSDT,-0.0286,-2.482,1.1235
728,XTZBUSD,-0.029,-1.355,2.111
878,MANABUSD,-0.0291,-2.526,1.123
915,BALUSDT,-0.03,-0.271,11.06
2039,LDOBUSD,-0.031,-1.538,1.985
995,KSMBNB,-0.033,-10.11,0.2934
1575,ALPACABUSD,-0.0337,-8.771,0.3505
333,IOTAUSDT,-0.034,-8.015,0.3902
901,IOTABUSD,-0.0341,-8.024,0.3909
1576,ALPACAUSDT,-0.0347,-9.011,0.3504
1854,USTBUSD,-0.0349,-3.675,0.9148
1036,SXPEUR,-0.035,-5.043,0.659
1855,USTUSDT,-0.0352,-3.706,0.9146
938,CRVBUSD,-0.036,-1.784,1.982
1825,VOXELBUSD,-0.0364,-4.27,0.816
1507,ERNBUSD,-0.037,-1.295,2.82
1826,VOXELUSDT,-0.0375,-4.394,0.816
939,CRVUSDT,-0.038,-1.884,1.979
1260,FIROUSDT,-0.039,-1.708,2.245
979,LINKAUD,-0.04,-0.321,12.42
1134,KP3RBNB,-0.0403,-5.371,0.71
1247,EOSEUR,-0.042,-2.512,1.63
930,SRMBUSD,-0.043,-2.882,1.449
863,SXPUSDT,-0.045,-6.106,0.692
1668,AGLDUSDT,-0.046,-5.75,0.754
918,KMDUSDT,-0.0474,-12.012,0.3472
1715,DARBUSD,-0.04797,-6.15,0.732
1714,DARUSDT,-0.04881,-6.254,0.7317
1809,BICOBUSD,-0.049,-6.156,0.747
1810,BICOUSDT,-0.05,-6.266,0.748
1508,ERNUSDT,-0.052,-1.819,2.806
420,EOSUSDC,-0.053,-3.001,1.713
1858,JOEUSDT,-0.055,-8.423,0.598
493,OMGUSDT,-0.056,-1.787,3.078
323,EOSUSDT,-0.057,-3.222,1.712
851,ETHDOWNUSDT,-0.0579,-4.967,1.1077
1567,RAYBUSD,-0.058,-3.505,1.597
650,EOSBUSD,-0.059,-3.333,1.711
431,LINKUSDT,-0.06,-0.69,8.63
1294,OMGBUSD,-0.061,-1.946,3.074
1413,BURGERUSDT,-0.067,-8.241,0.746
1568,RAYUSDT,-0.068,-4.096,1.592
1226,OGUSDT,-0.069,-2.936,2.281
1331,UNIEUR,-0.07,-1.174,5.89
1412,BURGERBUSD,-0.071,-8.722,0.743
1530,GRTTRY,-0.076,-1.936,3.85
1643,YGGUSDT,-0.078,-8.378,0.853
1230,ASRUSDT,-0.08,-3.428,2.254
955,LUNABNB,-0.08175,-51.981,0.07552
588,MTLUSDT,-0.083,-5.681,1.378
943,SANDBUSD,-0.0864,-4.731,1.74
942,SANDUSDT,-0.0866,-4.742,1.7396
1750,MANABRL,-0.09,-1.49,5.95
1010,UMAUSDT,-0.091,-2.082,4.279
474,XMRBNB,-0.0925,-15.445,0.5064
1290,1INCHBUSD,-0.093,-8.201,1.041
1214,JUVBUSD,-0.1,-2.639,3.69
1707,CELOBUSD,-0.107,-5.214,1.945
1703,FTMBRL,-0.11,-3.667,2.89
1397,MIRBUSD,-0.111,-13.214,0.729
1232,CELOUSDT,-0.112,-5.45,1.943
1812,FLUXBUSD,-0.114,-10.775,0.944
1813,FLUXUSDT,-0.115,-10.87,0.943
1803,SANDAUD,-0.124,-4.695,2.5172
1759,PORTOEUR,-0.1263,-5.94,2.0
1697,LAZIOUSDT,-0.1285,-5.613,2.1609
814,REPUSDT,-0.13,-1.404,9.13
1032,WINGUSDT,-0.14,-2.881,4.72
1757,PORTOUSDT,-0.1448,-6.436,2.1049
1909,API3USDT,-0.148,-5.822,2.394
1042,UNIUSDT,-0.15,-2.389,6.13
1726,LAZIOBUSD,-0.1509,-6.572,2.1451
1497,RUNEGBP,-0.151,-3.823,3.799
2021,MOBUSDT,-0.153,-5.995,2.399
1291,BANDBUSD,-0.155,-6.504,2.228
2022,MOBBUSD,-0.156,-6.103,2.4
612,BANDUSDT,-0.163,-6.826,2.225
1446,MASKUSDT,-0.167,-5.502,2.868
1970,KDAUSDT,-0.173,-6.207,2.614
935,ANTUSDT,-0.174,-6.713,2.418
2013,PORTOBUSD,-0.1747,-7.667,2.104
934,ANTBUSD,-0.176,-6.788,2.417
1163,UNFIBUSD,-0.181,-5.877,2.899
1473,KAVABUSD,-0.183,-6.149,2.793
1695,LAZIOEUR,-0.1843,-8.268,2.0448
1969,KDABUSD,-0.188,-6.719,2.61
642,KAVAUSDT,-0.189,-6.347,2.789
1362,LTCGBP,-0.19,-0.293,64.72
811,KNCBUSD,-0.198,-8.749,2.065
1091,AAVEBUSD,-0.2,-0.188,105.9
812,KNCUSDT,-0.203,-8.955,2.064
848,SNXBUSD,-0.206,-5.914,3.277
1829,FTMTRY,-0.21,-2.354,8.71
1445,MASKBUSD,-0.212,-6.894,2.863
1513,RUNEEUR,-0.216,-4.64,4.439
1164,UNFIUSDT,-0.218,-7.01,2.892
1482,GTCUSDT,-0.219,-5.946,3.464
1481,GTCBUSD,-0.226,-6.161,3.442
1007,RUNEUSDT,-0.228,-4.66,4.665
1389,BTGUSDT,-0.23,-0.985,23.11
877,RUNEBUSD,-0.232,-4.737,4.666
1989,SANTOSBUSD,-0.235,-8.426,2.554
1792,SANTOSUSDT,-0.239,-8.625,2.532
726,NEOBUSD,-0.24,-1.702,13.86
965,PAXGBNB,-0.243,-4.047,5.761
1521,BUSDUAH,-0.25,-0.767,32.35
1672,RADUSDT,-0.265,-8.714,2.776
986,WBTCETH,-0.27,-1.99,13.3
1671,RADBUSD,-0.277,-9.097,2.768
1560,AXSAUD,-0.28,-0.767,36.24
1613,DYDXUSDT,-0.29,-9.352,2.811
1944,ALPINEUSDT,-0.2964,-8.022,3.3983
1092,AAVEUSDT,-0.3,-0.282,105.9
1974,ALPINEBUSD,-0.3103,-8.359,3.4018
2003,GMTGBP,-0.31257,-17.384,1.48546
1995,AVAXGBP,-0.32,-0.876,36.23
1976,NEAREUR,-0.323,-3.38,9.234
1449,LPTBUSD,-0.33,-1.803,17.97
1942,ALPINEEUR,-0.332,-9.404,3.1983
950,NMRUSDT,-0.34,-2.051,16.24
1300,AUCTIONBUSD,-0.35,-4.094,8.2
1992,GMTEUR,-0.36713,-17.445,1.73738
1014,TRXDOWNUSDT,-0.368,-12.483,2.58
1918,ANCUSDT,-0.369,-33.947,0.718
1898,LOKABUSD,-0.3816,-14.672,2.2193
1899,LOKAUSDT,-0.3818,-14.669,2.2209
1962,GMTUSDT,-0.38868,-17.552,1.82576
1961,GMTBUSD,-0.38932,-17.583,1.82489
1706,AUCTIONUSDT,-0.42,-4.889,8.17
1980,APEGBP,-0.4295,-5.661,7.1581
1328,AVAXEUR,-0.43,-1.007,42.28
1096,NEARBUSD,-0.436,-4.307,9.688
1051,AVAXBUSD,-0.44,-0.98,44.46
1052,AVAXUSDT,-0.45,-1.002,44.44
1450,LPTUSDT,-0.47,-2.554,17.93
1078,XVSBUSD,-0.5,-8.292,5.53
2019,GMTAUD,-0.531,-16.763,2.63674
1939,DARTRY,-0.54,-4.493,11.48
1138,AXSBUSD,-0.56,-2.176,25.18
1589,TRURUB,-0.58,-6.621,8.18
1241,BTCSTUSDT,-0.59,-5.135,10.9
662,BCHUSDC,-0.6,-0.26,229.8
1240,BTCSTBUSD,-0.63,-5.469,10.89
1783,PYRBUSD,-0.64,-9.235,6.29
1784,PYRUSDT,-0.65,-9.366,6.29
1979,APEEUR,-0.6996,-7.825,8.2409
1139,AXSUSDT,-0.7,-2.704,25.19
1971,APEUSDT,-0.7336,-7.795,8.6778
1972,APEBUSD,-0.7363,-7.824,8.6747
1022,USDTNGN,-0.8,-0.13,616.7
1686,AVAXAUD,-0.84,-1.295,64.0
2037,GALEUR,-0.91,-12.133,6.59
2031,GALBUSD,-0.921,-11.759,6.911
1749,SANDTRY,-0.93,-3.299,27.26
2030,GALUSDT,-0.942,-12.009,6.902
661,BCHUSDT,-1.0,-0.433,229.8
1990,APEAUD,-1.0899,-8.021,12.4979
1038,CREAMBUSD,-1.1,-3.571,29.7
725,DASHBUSD,-1.2,-1.63,72.4
1486,TORNUSDT,-1.21,-2.843,41.35
1469,ZENBUSD,-1.27,-4.771,25.35
1485,TORNBUSD,-1.29,-3.023,41.38
1720,BNXBUSD,-1.3,-1.216,105.6
1793,SANTOSBRL,-1.33,-9.141,13.22
1018,DOTDOWNUSDT,-1.38,-4.571,28.811
1553,QNTUSDT,-1.4,-1.872,73.4
1978,WAVESEUR,-1.42,-11.164,11.3
842,ZENUSDT,-1.45,-5.433,25.24
1694,LAZIOTRY,-1.452,-4.113,33.848
435,WAVESUSDT,-1.46,-10.871,11.97
1552,QNTBUSD,-1.5,-2.003,73.4
1790,ALCXUSDT,-1.6,-3.376,45.8
1403,FORTHBUSD,-1.63,-27.768,4.24
1404,FORTHUSDT,-1.65,-27.966,4.25
1789,ALCXBUSD,-1.7,-3.579,45.8
1758,PORTOTRY,-1.83,-5.275,32.86
1954,API3TRY,-1.86,-4.734,37.43
1986,GMTBRL,-2.035,-17.711,9.455
1729,ALGORUB,-2.2,-5.046,41.4
1685,AVAXBRL,-2.4,-1.029,230.8
1559,AXSBRL,-2.7,-2.03,130.3
1794,SANTOSTRY,-3.0,-7.037,39.63
1804,SLPBIDR,-3.3,-2.455,131.1
2016,APEBRL,-3.8,-7.784,45.02
1802,NEORUB,-4.0,-0.407,980.0
1248,LTCBRL,-4.1,-0.983,413.0
1943,ALPINETRY,-4.18,-7.31,53.0
1940,NEARTRY,-4.6,-2.947,151.5
1938,AXSTRY,-4.8,-1.208,392.6
1578,QUICKUSDT,-4.9,-4.459,105.0
477,ZECUSDT,-5.4,-5.466,93.4
2005,GMTTRY,-5.65,-16.506,28.58
1957,NBTBIDR,-5.7,-3.723,147.4
480,ZECUSDC,-5.9,-5.906,94.0
1751,KP3RUSDT,-6.02,-2.58,227.35
997,KSMBUSD,-6.9,-6.838,94.0
1135,KP3RBUSD,-7.19,-3.072,226.86
1904,NEARRUB,-8.0,-1.151,687.0
1981,APETRY,-9.4,-6.474,135.8
967,PAXGBUSD,-11.0,-0.594,1840.0
1372,AUTOUSDT,-12.6,-5.268,226.6
2038,GALTRY,-12.9,-10.688,107.8
968,PAXGUSDT,-14.0,-0.756,1837.0
1205,LTCRUB,-19.8,-0.352,5605.0
1975,LUNAGBP,-19.84,-50.063,19.79
2006,WAVESTRY,-20.2,-9.73,187.4
756,XMRBUSD,-23.2,-12.5,162.4
1363,LUNAEUR,-23.26,-50.205,23.07
475,XMRUSDT,-23.4,-12.615,162.1
837,BUSDBIDR,-24.0,-0.164,14638.0
957,LUNABUSD,-24.52,-50.256,24.27
958,LUNAUSDT,-24.54,-50.297,24.25
1864,LUNAUST,-24.89,-48.424,26.51
838,USDTBIDR,-32.0,-0.218,14629.0
1687,LUNAAUD,-35.29,-50.242,34.95
1652,LTCUAH,-49.0,-1.872,2568.0
783,USDTIDRT,-53.0,-0.361,14626.0
1374,TKOBIDR,-70.79,-1.003,6987.3
1863,LUNABRL,-127.0,-50.178,126.1
1818,LUNATRY,-372.3,-49.508,379.7
1632,FTMBIDR,-379.0,-4.45,8137.0
1821,MANABIDR,-1048.0,-6.006,16400.0
1822,SANDBIDR,-1794.0,-6.573,25500.0
1657,ALICEBIDR,-2536.0,-4.356,55688.0
828,BTCUAH,-5383.0,-0.533,1005478.0
1656,AVAXBIDR,-6103.0,-0.93,650000.0
1622,AXSBIDR,-18701.0,-4.811,370000.0
1731,LUNABIDR,-374974.0,-51.457,353745.0
